Entity;Type;Link;latitude;longitude;geocode_query;geocode_status;Subfolder;SourceFileStem;distance_to_dresden_km
Dresdais;Location;https://en.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A;299;0.13293315314514328
Dresdam;Location;https://en.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A;299;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._;20;0.13293315314514328
Schloss und Vestung;Location;https://de.wikipedia.org/wiki/Schloss_Dresden;51.1675274;13.6795084;Schloss Moritzburg;ok;004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._;20;13.63459838511828
Rustkammer;Location;https://de.wikipedia.org/wiki/Dresdner_Rüstkammer;51.0525437;13.7374376;Rustkammer;ok;004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._;20;0.238562861861314
DRESSDAM;LOC;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;285;0.13293315314514328
Raddeburg;Location;https://de.wikipedia.org/wiki/Radeburg;51.1151413;13.9175257;Radeberg;ok;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;287;14.502144229515732
Alt Dresen;Location;https://de.wikipedia.org/wiki/Altstadt_(Dresden);51.049818;13.6989222;Alt Dresden;ok;006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän;387;2.68345501748464
Newe Dresden;Location;https://de.wikipedia.org/wiki/Neustadt_(Dresden);51.0481142;13.7401486;Neues Dresden;ok;006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän;387;0.3228827949294987
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän;387;0.13293315314514328
Dresden;Location;https://en.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän;393;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1002;0.13293315314514328
Alt‑Dresden;Location;;51.049818;13.6989222;Alt‑Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1002;2.68345501748464
Haupt‑Bestung Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0403927;13.731467;Dresden Hauptbahnhof;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1002;1.1851259670367646
Dresdner Tore;Location;https://de.wikipedia.org/wiki/Dresdner_Tore;51.0594789;13.5583207;Dresdner Tor;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1004;12.550322873464589
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1005;0.13293315314514328
Alt‑Dresden;Location;https://de.wikipedia.org/wiki/Alt-Dresden;51.049818;13.6989222;Alt‑Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1005;2.68345501748464
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1007;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1015;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1016;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1031;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1032;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1037;0.13293315314514328
