Entity;Type;Link;latitude;longitude;geocode_query;geocode_status;Subfolder;SourceFileStem
Schwa Ben;Place;https://de.wikipedia.org/wiki/Schwaben;;;Schwa Ben;no_results;002_1586_Gründliche_vnd_warhafftige_beschreibung_Der_Löblichen_vnd_Ritterlichen_Reise_vnd_Meerfart_in_das_hei;23
Hierusalemqsm;Location;;;;Hierusalemqsm;no_results;002_1586_Gründliche_vnd_warhafftige_beschreibung_Der_Löblichen_vnd_Ritterlichen_Reise_vnd_Meerfart_in_das_hei;24
Herbipoli;Location;;;;Herbipoli;no_results;003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A;299
Egram;Location;;;;Egram;no_results;003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A;299
Darisra;Location;;;;Darisra;no_results;003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A;299
COSTLINVM;LOC;;;;COSTLINVM;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;285
Ryfflant;LOC;;;;Ryfflant;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;285
AufmBraet;LOC;;;;AufmBraet;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;285
Zinhoven;LOC;;;;Zinhoven;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;285
Salgast;Location;;;;Salgast;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;287
Biberstorff;Location;;;;Biberstorff;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;287
Zurf fehre;Location;;;;Zurf fehre;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;287
Beskoff;Location;;;;Beskoff;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;287
Boruf;Location;;;;Boruf;no_results;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;287
Nifle;Location;;;;Nifle;no_results;006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän;387
Miereis;Location;;;;Miereis;no_results;006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän;387
Laf Oakland;Location;;;;Laf Oakland;no_results;006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän;390
Kurfürstentum Sachsen;Location;https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen;;;Kurfürstentum Sachsen;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1004
Ringmauer (Dresden);Location;https://de.wikipedia.org/wiki/Stadtmauer_(Dresden);;;Ringmauer (Dresden);no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1004
Herzogthum Zutlich;Location;;;;Herzogtum Zittau;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1006
Landgrafschaft Thüringen;Location;https://de.wikipedia.org/wiki/Landgrafschaft_Th%C3%BCringen;;;Landgrafschaft Thüringen;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1006
Markgrafschaft Meissen;Location;https://de.wikipedia.org/wiki/Markgrafschaft_Mei%C3%9Fen;;;Markgrafschaft Meißen;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1006
Marckgraffschaft Ober- Laufeniz;Location;https://de.wikipedia.org/wiki/Laufnitz;;;Markgrafschaft Oberlausitz;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1007
Marckgraffschaft Nieder- Laufeniz;Location;;;;Markgrafschaft Niederlausitz;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1007
Arafaffaft Marck;Location;;;;Markgrafschaft;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1007
RiesenSaal;Location;https://de.wikipedia.org/wiki/Riesensaal_(Dresden);;;Riesensaal;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1010
Churfürstliche Guardarobba;Location;;;;Kurfürstliche Garderobe;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1011
Kurfürstliche Festungen;Location;;;;Kurfürstliche Festungen;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1011
Erbländer;Location;;;;Erbländer;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1011
Zierathen;Location;https://de.wikipedia.org/wiki/Zierathen;;;Zierathen;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1013
Portkirchen;Location;;;;Portkirchen;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1013
Sächsischen Stammen;Location;https://de.wikipedia.org/wiki/S%C3%A4chsische_St%C3%A4mme;;;Sächsische Stämme;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1026
Churfürstliche Zeughauβ;Location;https://de.wikipedia.org/wiki/Churf%C3%BCrstliches_Zeughaus_(Dresden);;;Kurfürstlicher Zeughof;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1035
Anatomie Kammer;Location;;;;Anatomische Kammer;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1039
Zage S. Vei;Location;;;;Zage S. Vei;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1052
Kirch-Thore;Location;;;;Kirch-Thore;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1055
Frauenzüñen;Location;;;;Frauenzüñen;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1062
Churfürstinnengarten;Location;;;;Kurfürstinnengarten;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1063
Zinsendorffer Garten;Location;;;;Zinzendorfer Garten;no_results;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1064
Dinkelispiel;Location;;;;Dinkelispiel;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000056.tif.original
