historical spelling|Type|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|modernized_spellings
Schwa Ben|Place|https://de.wikipedia.org/wiki/Schwaben|||Schwa Ben|no_results|002_1586_Gründliche_vnd_warhafftige_beschreibung_Der_Löblichen_vnd_Ritterlichen_Reise_vnd_Meerfart_in_das_hei|23|Schwa Ben
Hierusalemqsm|Location||||Hierusalemqsm|no_results|002_1586_Gründliche_vnd_warhafftige_beschreibung_Der_Löblichen_vnd_Ritterlichen_Reise_vnd_Meerfart_in_das_hei|24|Jerusalem
Herbipoli|Location||||Herbipoli|no_results|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|Herbipoli
Egram|Location||||Egram|no_results|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|Egram
Darisra|Location||||Darisra|no_results|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|Darisra
COSTLINVM|LOC||||COSTLINVM|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|Costlin
Schwa Ben|Place|https://de.wikipedia.org/wiki/Schwaben|||Schwa Ben|no_results|002_1586_Gründliche_vnd_warhafftige_beschreibung_Der_Löblichen_vnd_Ritterlichen_Reise_vnd_Meerfart_in_das_hei|23|Schwa Ben
Hierusalemqsm|Location||||Hierusalemqsm|no_results|002_1586_Gründliche_vnd_warhafftige_beschreibung_Der_Löblichen_vnd_Ritterlichen_Reise_vnd_Meerfart_in_das_hei|24|Jerusalem
Herbipoli|Location||||Herbipoli|no_results|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|Erba
Egram|Location||||Egram|no_results|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|Egram
Darisra|Location||||Darisra|no_results|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|Darisra
COSTLINVM|LOC||||COSTLINVM|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|Kostlin
Ryfflant|LOC||||Ryfflant|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|Riffland
