Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty
Dresdais|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|0.13293315314514328||certain
Dresdam|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|0.13293315314514328||certain
Schloss und Vestung|https://de.wikipedia.org/wiki/Schloss_Dresden|51.1675274|13.6795084|Schloss Moritzburg|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|13.63459838511828|Schloß und Vestung|certain
Rustkammer|https://de.wikipedia.org/wiki/Dresdner_Rüstkammer|51.0525437|13.7374376|Rustkammer|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|0.238562861861314||certain
DRESSDAM|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|0.13293315314514328||certain
Raddeburg|https://de.wikipedia.org/wiki/Radeburg|51.1151413|13.9175257|Radeberg|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|14.502144229515732||certain
Alt Dresen|https://de.wikipedia.org/wiki/Altstadt_(Dresden)|51.049818|13.6989222|Alt Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|2.68345501748464||certain
Newe Dresden|https://de.wikipedia.org/wiki/Neustadt_(Dresden)|51.0481142|13.7401486|Neues Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|0.3228827949294987||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|0.13293315314514328||certain
Dresden|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|393|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1002|0.13293315314514328||certain
Alt‑Dresden||51.049818|13.6989222|Alt‑Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1002|2.68345501748464|Alt-Dresden.|certain
Haupt‑Bestung Dresden|https://de.wikipedia.org/wiki/Dresden|51.0403927|13.731467|Dresden Hauptbahnhof|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1002|1.1851259670367646|Haupt‑Bestung|certain
Dresdner Tore|https://de.wikipedia.org/wiki/Dresdner_Tore|51.0594789|13.5583207|Dresdner Tor|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1004|12.550322873464589|Thore|certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1005|0.13293315314514328||certain
Alt‑Dresden|https://de.wikipedia.org/wiki/Alt-Dresden|51.049818|13.6989222|Alt‑Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1005|2.68345501748464|Alt-Dres-den|certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1007|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1015|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1016|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1031|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1032|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1037|0.13293315314514328||certain
Schloss Dresden|https://de.wikipedia.org/wiki/Dresdner_Schloss|51.0087637|13.8688717|Schloss Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1043|10.300291033070446|Schlosse|certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1046|0.13293315314514328||certain
Kirche zu unsrer lieben Frauen|https://en.wikipedia.org/wiki/Frauenkirche_(Dresden)|51.051957|13.7416198|Frauenkirche Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1056|0.34806721038579985||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1059|0.13293315314514328||certain
Dresden|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000535.tif.original|0.13293315314514328||certain
Dippoldiswalde|https://de.wikipedia.org/wiki/Dippoldiswalde|50.8950479|13.6633335|Dippoldiswalde|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|18.034042343892846|Dippoldis-walda|certain
