Entity|Type|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable URL|Gender
Dresdais|Location|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|0.13293315314514328|3|1604|Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania|Friedrich I. von Württemberg|1580|Seite(n)155-156|29|https://www.digitale-sammlungen.de/de/view/bsb11095441?page=,1|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|HAB Wolfenbüttel|https://reise.isgv.de/logs/Q109943966|male
Dresdam|Location|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|0.13293315314514328|3|1604|Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania|Friedrich I. von Württemberg|1580|Seite(n)155-156|29|https://www.digitale-sammlungen.de/de/view/bsb11095441?page=,1|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|HAB Wolfenbüttel|https://reise.isgv.de/logs/Q109943966|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|0.13293315314514328|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male
Schloss und Vestung|Location|https://de.wikipedia.org/wiki/Schloss_Dresden|51.1675274|13.6795084|Schloss Moritzburg|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|13.63459838511828|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male
Rustkammer|Location|https://de.wikipedia.org/wiki/Dresdner_Rüstkammer|51.0525437|13.7374376|Rustkammer|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|0.238562861861314|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male
DRESSDAM|LOC|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|0.13293315314514328|5|1609|Deliciarum Germaniae, Tam Superioris Quam Inferioris|Martin Zeiller|Kein Eintrag vorhanden|Seite(n)285-287|489|https://www.digitale-sammlungen.de/de/view/bsb11095130?page=303|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|Link|https://reise.isgv.de/logs/Q109944118|male
Raddeburg|Location|https://de.wikipedia.org/wiki/Radeburg|51.1151413|13.9175257|Radeberg|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|14.502144229515732|5|1609|Deliciarum Germaniae, Tam Superioris Quam Inferioris|Martin Zeiller|Kein Eintrag vorhanden|Seite(n)285-287|489|https://www.digitale-sammlungen.de/de/view/bsb11095130?page=303|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|Link|https://reise.isgv.de/logs/Q109944118|male
Alt Dresen|Location|https://de.wikipedia.org/wiki/Altstadt_(Dresden)|51.049818|13.6989222|Alt Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|2.68345501748464|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male
Newe Dresden|Location|https://de.wikipedia.org/wiki/Neustadt_(Dresden)|51.0481142|13.7401486|Neues Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|0.3228827949294987|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|0.13293315314514328|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male
