Year;Title;Pages
1586;Gründliche vnd warhafftige beschreibung Der Löblichen vnd Ritterlichen Reise vnd Meerfart in das heilige Land nach Hierusalem;Seite(n)99
1586;Gründliche vnd warhafftige beschreibung Der Löblichen vnd Ritterlichen Reise vnd Meerfart in das heilige Land nach Hierusalem;Seite(n)23-24
1604;Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania;Seite(n)155-156
1606;Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon;Seite(n)12
1609;Deliciarum Germaniae, Tam Superioris Quam Inferioris;Seite(n)285-287
1632;Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande;Seite(n)386-393
1686;Auf angenehmgehaltenes Gutachten und Veranlassung der Kön. Engell. Medicinischen Gesellschaft in London gethane gantz sonderbare Reise;Seite(n)281-287
1690;Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz;Seite(n)1002-1065
1706;Die vornehmsten europäischen Reisen, wie solche durch Deutschland, Franckreich, Italien, Holl-und England, Dännemarck und Schweden anzustellen;Seite(n)56-57
1735;Curieuse Reise-Beschreibung des Herrn Androphili;Seite(n)602-604
1735;Curieuse Reise-Beschreibung des Herrn Androphili;Seite(n)534-544
1735;Curieuse Reise-Beschreibung des Herrn Androphili;Seite(n)462-517
1738;Briefe, welche das Merkwürdigste von seinen Reisen und die Eigenschaften derjenigen Personen, woraus die vornehmsten Höfe von Europa bestehen, in sich enthalten;Seite(n)140-194
1739;Eines berühmten Cavaliers aus Schlesien, Curieuse Reisen durch Europa, in welcher allerhand Merckwürdigkeiten zu finden;Seite(n)428-437
1740;Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweitz, Italien und Lothringen;Seite(n)1052-1097
1741;Anmerckungen derer Auf meiner Sächsischen Reysse gesehenen Merckwürdigkeiten Wie ich solche an unterschiedenen Orten meist nur kürtzlich aufgeschrieben;Seite(n)94
1741;Anmerckungen derer Auf meiner Sächsischen Reysse gesehenen Merckwürdigkeiten Wie ich solche an unterschiedenen Orten meist nur kürtzlich aufgeschrieben;Seite(n)48-50
1754;Beschreibung des Morgenlandes und einiger anderer Länder;Seite(n)345-346
1758;Historische Berichte und praktische Anmerkungen auf Reisen in Deutschland, in die Niederlande, in Frankreich, England, Dännemark, Böhmen und Ungarn;Seite(n)267-269
1772;Tagebuch einer musikalischen Reise durch Frankreich und Italien, durch Flandern, den Niederlanden und am Rhein bis Wien, durch Böhmen, Sachsen, Brandenburg, Hamburg und Holland 1770–1772;Seite(n)350-366
1774;Briefe eines aufmerksamen Reisenden die Musik betreffend;Seite(n)109-122
1777;Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland;Seite(n)327-329
1777;Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland;Seite(n)189-327
1777;Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland;Seite(n)180-183
1779;Briefe eines Engländers auf seiner Reise nach Berlin, Dresden, Wien, Haag, Rom, Neapolis und Ferney;Seite(n)30-37
1780;Freundschaftliche Nachrichten von einer Carlsbader Brunnenreise;Seite(n)90-96
1780;Emanuel Hartensteins, eines perigrinirenden Weltbürgers, Reise von Berlin über Rostock nach Dreßden;Seite(n)158-162
1781;Nachrichten eines reisenden Passagiers von den wahren Begebenheiten, die sich auf seiner Reise … ereignet;Seite(n)4
1782;Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen;Seite(n)14-30
1782;Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen;Seite(n)13-14
1782;Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen;Seite(n)168-207
1782;Reise von Dresden nach Teplitz in Böhmen;Seite(n)29
1783;Der durch Preußen und Sachsen reisende Weltbürger;Seite(n)95-99
1783;Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Seite(n)312-313
1783;Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Seite(n)299-304
1783;Briefe eines reisenden Franzosen über Deutschland. An seinen Bruder zu Paris;Seite(n)6-19
1783;Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Seite(n)127-132
1783;Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Seite(n)124
1783;Geographische Reise durch Deutschland;Seite(n)80-83
1784;Briefe eines Reisenden aus Sachsen;Seite(n)922-923
1784;Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Seite(n)29
1784;Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Seite(n)27
1784;Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Seite(n)21-25
1784;Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Seite(n)15
1785;Eine Frühlingsreise über Halle, Leipzig und Altenburg nach Dresden im Jahre 1784;Seite(n)372-373
1785;Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen;Seite(n)111-139
1786;Auszug einer Reise durch einen Theil von Sachsen;Seite(n)191-194
1786;Litterarische Reise durch Teutschland;Seite(n)3-23
1786;Kleine Wanderungen durch Teutschland;Seite(n)142-220
1786;Briefe über Sachsen von einem Reisenden;Seite(n)59-68
1786;Briefe über Sachsen von einem Reisenden;Seite(n)54-56
1786;Briefe über Sachsen von einem Reisenden;Seite(n)52-53
1786;Briefe über Sachsen von einem Reisenden;Seite(n)49-51
1786;Briefe über Sachsen von einem Reisenden;Seite(n)47
1786;Briefe über Sachsen von einem Reisenden;Seite(n)16-68
1786;Briefe über Sachsen von einem Reisenden;Seite(n)14-16
1787;Briefe über Herrnhut und andere Orte der Oberlausitz;Seite(n)9-12
1787;Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Seite(n)69-71
1787;Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Seite(n)13-49
1789;Bemerkungen auf der Reise durch Frankreich, Italien und Deutschland;Seite(n)350-374
1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)142-144
1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)106-122
1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)83-104
1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)81
1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)166
1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)107-115
1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)71-75
1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)62-66
1792;Lust-Reisen durch Bayern, Würtemberg, Pfalz, Sachsen, Brandenburg, Oesterreich, Mähren, Böhmen und Ungarn in den Jahren 1784 bis 1791;Seite(n)184-236
1793;Bemerkungen auf einer Reise von Jena nach Altenburg, Dresden, Königstein und Meißen;Seite(n)341
1793;Bemerkungen auf einer Reise von Jena nach Altenburg, Dresden, Königstein und Meißen;Seite(n)325-333
1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)62-63
1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)58-60
1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)30
1793;Briefe auf einer Reise durch Deutschland im Jahre 1791;Seite(n)197-201
1793;Briefe auf einer Reise durch Deutschland im Jahre 1791;Seite(n)154-197
1793;Karl Wertheims Reise durch Kursachsen;Seite(n)186-187
1793;Karl Wertheims Reise durch Kursachsen;Seite(n)169-171
1793;Karl Wertheims Reise durch Kursachsen;Seite(n)1-149
1794;Reise in Deutschland, der Schweiz, Italien und Sicilien;Seite(n)398
1795;Kleine Wanderungen durch Sachsen und Brandenburg;Seite(n)66-102
1795;Kleine Wanderungen durch Sachsen und Brandenburg;Seite(n)23-48
1795;Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Seite(n)35-36
1795;Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Seite(n)5-35
1795;Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Seite(n)238-241
1795;Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Seite(n)237-238
1795;Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Seite(n)166-229
1795;Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Seite(n)130-166
1795;Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Seite(n)372-385
1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)176-266
1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)141-169
1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)138-141
1795;Bemerkungen auf einer Reise von Kopenhagen nach Wien im Jahr 1793;Seite(n)54-66
1796;Wanderungen in Sachsen, Schlesien, Glatz und Böhmen;Seite(n)4-5
1796;Reisen durch Deutschland, Frankreich, England und Holland in verschiedener, besonders politischer Hinsicht;Seite(n)207-214
1796;Reisen durch Deutschland, Frankreich, England und Holland in verschiedener, besonders politischer Hinsicht;Seite(n)154-155
1796;Wanderungen durch die Niederlande, Deutschland, die Schweiz und Italien 1793 und 1794;Seite(n)499-502
1797;Reisen und merkwürdige Nachrichten zweier Neufranken durch Deutschland, Rußland, Polen und die Oesterreichischen Staaten während des jetzigen wichtigen Krieges;Seite(n)30-53
1798;Erzählungen von einer Reise durch einen großen Theil Deutschlands und der Schweiz, im Jahre 1796;Seite(n)54-67
1798;Erzählungen von einer Reise durch einen großen Theil Deutschlands und der Schweiz, im Jahre 1796;Seite(n)17-44
1798;Meine Reise in das Sächsische Erzgebirge im Monath August 1798;Seite(n)36
1798;Meine Reise in das Sächsische Erzgebirge im Monath August 1798;Seite(n)10-11
1798;Peregrinationen;Seite(n)169-185
1798;Reisen nach und in der Oberlausitz;Seite(n)239
1798;Reisen nach und in der Oberlausitz;Seite(n)12-16
1798;Gemälde über die Ober-Lausitz. Gesammelt auf einer kleinen Fußreise;Seite(n)239
1798;Gemälde über die Ober-Lausitz. Gesammelt auf einer kleinen Fußreise;Seite(n)12-21
1798;Fußreise von Dresden nach den zwei verfallenen Bergschlössern, die Rathen, und die dortige Gegend;Seite(n)47-50
1798;Eine kleine Fußreise von Dresden nach Pirna. An Herrn J. Hermsdorf in Görlitz;Seite(n)30-31
1798;Eine kleine Fußreise von Dresden nach Pirna. An Herrn J. Hermsdorf in Görlitz;Seite(n)5-7
1799;Neue Ansicht von Dresden. Für Reisende von einem Reisenden;Seite(n)2-218
1799;Briefe eines reisenden Russen;Seite(n)192-216
1799;Meine Reise im deutschen Vaterlande, aus Thüringen ins Riesengebürge zu den Elbquellen und durch Böhmen ins Erzgebürge;Seite(n)51-78
1799;Meine Reise im deutschen Vaterlande, aus Thüringen ins Riesengebürge zu den Elbquellen und durch Böhmen ins Erzgebürge;Seite(n)44-46
1799;Meine Reise im deutschen Vaterlande, aus Thüringen ins Riesengebürge zu den Elbquellen und durch Böhmen ins Erzgebürge;Seite(n)28-38
1799;Beschreibung einer Wasserreise von Außig nach Dresden;Seite(n)207-208
1800;Pitoreskische Reisen durch Sachsen oder Naturschönheiten sächsischer Gegenden auf einer gesellschaftlichen Reise;Seite(n)63-76
1800;Pitoreskische Reisen durch Sachsen oder Naturschönheiten sächsischer Gegenden auf einer gesellschaftlichen Reise;Seite(n)3-16
1801;Schönheiten der Natur und Kunst dargestellt auf einer Reise durch einen Theil der Sächsischen Staaten;Seite(n)624-634
1801;Schönheiten der Natur und Kunst dargestellt auf einer Reise durch einen Theil der Sächsischen Staaten;Seite(n)521-621
1801;Schönheiten der Natur und Kunst dargestellt auf einer Reise durch einen Theil der Sächsischen Staaten;Seite(n)448-510
1801;Schönheiten der Natur und Kunst dargestellt auf einer Reise durch einen Theil der Sächsischen Staaten;Seite(n)310-390
1801;Reise durch Deutschland, Dänemark, Schweden, Norwegen und einen Theil von Italien, in den Jahren 1797, 1798, 1799;Seite(n)294-298
1801;Reise durch Deutschland, Dänemark, Schweden, Norwegen und einen Theil von Italien, in den Jahren 1797, 1798, 1799;Seite(n)256-262
1801;Meine Freuden in Sachsen;Seite(n)217-218
1801;Meine Freuden in Sachsen;Seite(n)205-214
1801;Meine Freuden in Sachsen;Seite(n)81-218
1801;Meine Freuden in Sachsen;Seite(n)76-78
1803;Spaziergang nach Syrakus;Seite(n)3-10
1803;Oeconomische und statistische Reisen durch Chursachsen und dessen angränzende Länder;Seite(n)1-8
1804;Reise von Dresden nach Prag und zurück. Nebst einer Beschreibung der Stadt Prag;Seite(n)66
1804;Reise von Dresden nach Prag und zurück. Nebst einer Beschreibung der Stadt Prag;Seite(n)8-14
1804;Reise von Dresden nach Prag und zurück. Nebst einer Beschreibung der Stadt Prag;Seite(n)7-8
1805;Reisen durch einen Theil Deutschlands vorzüglich durch Sachsen, Thüringen, Franken etc.;Seite(n)83-123
1805;Reisen durch einen Theil Deutschlands vorzüglich durch Sachsen, Thüringen, Franken etc.;Seite(n)81-83
1805;Reise durch Kursachsen in die Oberlausitz nach den evangelischen Brüdergemeinorten Barby, Gnadau, Herrnhut, Niesky und Kleinwelka;Seite(n)114-123
1805;Fußreise durch Sachsen und dessen romantische Schweizergegenden, einen Theil der Anhaltschen, Brandenburg und Braunschweigschen Lande nach Hannover;Seite(n)126-138
1805;Fußreise durch Sachsen und dessen romantische Schweizergegenden, einen Theil der Anhaltschen, Brandenburg und Braunschweigschen Lande nach Hannover;Seite(n)25-28
1806;Flüchtige Bemerkungen auf einer Reise von St. Petersburg über Moskwa, Grodno, Warschau, Breslau nach Deutschland;Seite(n)314-315
1806;Meine Reise durch Deutschland nebst pathognomischen Bemerkungen über meine gemachten Bekanntschaften;Seite(n)334
1807;Beobachtungen und Fantasien auf einer Reise durch Sachsen und Brandenburg im Herbst 1802;Seite(n)249-280
1807;Beobachtungen und Fantasien auf einer Reise durch Sachsen und Brandenburg im Herbst 1802;Seite(n)245-248
