Name;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
Gründliche vnd warhafftige beschreibung Der Löblichen vnd Ritterlichen Reise vnd Meerfart in das heilige Land nach Hierusalem;Hans von Mergenthal;1586;1476 bis 1476;120;BSB München;https://reise.isgv.de/logs/Q109944034
Gründliche vnd warhafftige beschreibung Der Löblichen vnd Ritterlichen Reise vnd Meerfart in das heilige Land nach Hierusalem;Hans von Mergenthal;1586;1476 bis 1476;120;BSB München;https://reise.isgv.de/logs/Q109944034
Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania;Matthias Quad;1604;Kein Eintrag vorhanden;299;BSB München;https://reise.isgv.de/logs/Q109944049
Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon;Friedrich I. von Württemberg;1606;1580;29;HAB Wolfenbüttel;https://reise.isgv.de/logs/Q109943966
Deliciarum Germaniae, Tam Superioris Quam Inferioris;Gaspar Ens;1609;Kein Eintrag vorhanden;320;BSB München;https://reise.isgv.de/logs/Q109943950
Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande;Martin Zeiller;1632;Kein Eintrag vorhanden;489;Link;https://reise.isgv.de/logs/Q109944118
Auf angenehmgehaltenes Gutachten und Veranlassung der Kön. Engell. Medicinischen Gesellschaft in London gethane gantz sonderbare Reise;Edward Browne;1686;Kein Eintrag vorhanden;299;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943927
Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz;Johannes Limberg;1690;Kein Eintrag vorhanden;1068;BSB München;https://reise.isgv.de/logs/Q109944016
Die vornehmsten europäischen Reisen, wie solche durch Deutschland, Franckreich, Italien, Holl-und England, Dännemarck und Schweden anzustellen;Peter Ambrosius Lehmann;1706;Kein Eintrag vorhanden;528;SLUB Dresden;https://reise.isgv.de/logs/Q109944013
Curieuse Reise-Beschreibung des Herrn Androphili;Androphilus;1735;Kein Eintrag vorhanden;782;SLUB Dresden;https://reise.isgv.de/logs/Q109943920
Curieuse Reise-Beschreibung des Herrn Androphili;Androphilus;1735;Kein Eintrag vorhanden;782;SLUB Dresden;https://reise.isgv.de/logs/Q109943920
Curieuse Reise-Beschreibung des Herrn Androphili;Androphilus;1735;Kein Eintrag vorhanden;782;SLUB Dresden;https://reise.isgv.de/logs/Q109943920
Briefe, welche das Merkwürdigste von seinen Reisen und die Eigenschaften derjenigen Personen, woraus die vornehmsten Höfe von Europa bestehen, in sich enthalten;Karl Ludwig von Pöllnitz;1738;Kein Eintrag vorhanden;463;BSB München;https://reise.isgv.de/logs/Q109944047
Eines berühmten Cavaliers aus Schlesien, Curieuse Reisen durch Europa, in welcher allerhand Merckwürdigkeiten zu finden;Georg von Fürst;1739;Kein Eintrag vorhanden;460;SLUB Dresden;https://reise.isgv.de/logs/Q109943970
Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweitz, Italien und Lothringen;Johann Georg Keyssler;1740;Kein Eintrag vorhanden;1344;BSB München;https://reise.isgv.de/logs/Q109943995
Anmerckungen derer Auf meiner Sächsischen Reysse gesehenen Merckwürdigkeiten Wie ich solche an unterschiedenen Orten meist nur kürtzlich aufgeschrieben;Johann Andreas Silbermann;1741;1741;438;SLUB Dresden;https://reise.isgv.de/logs/Q109944172
Anmerckungen derer Auf meiner Sächsischen Reysse gesehenen Merckwürdigkeiten Wie ich solche an unterschiedenen Orten meist nur kürtzlich aufgeschrieben;Johann Andreas Silbermann;1741;1741;438;SLUB Dresden;https://reise.isgv.de/logs/Q109944172
Beschreibung des Morgenlandes und einiger anderer Länder;Richard Pococke;1754;Kein Eintrag vorhanden;346;Link;https://reise.isgv.de/logs/Q109944046
Historische Berichte und praktische Anmerkungen auf Reisen in Deutschland, in die Niederlande, in Frankreich, England, Dännemark, Böhmen und Ungarn;Johann Peter Willebrand;1758;Kein Eintrag vorhanden;378;UB HU Berlin;https://reise.isgv.de/logs/Q109944113
Tagebuch einer musikalischen Reise durch Frankreich und Italien, durch Flandern, den Niederlanden und am Rhein bis Wien, durch Böhmen, Sachsen, Brandenburg, Hamburg und Holland 1770–1772;Charles Burney;1772;1770 bis 1772;372;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943931
Briefe eines aufmerksamen Reisenden die Musik betreffend;Johann Friedrich Reichardt;1774;Kein Eintrag vorhanden;134;Link;https://reise.isgv.de/logs/Q109944057
Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland;Andreas Meyer;1777;Kein Eintrag vorhanden;668;HAAB;https://reise.isgv.de/logs/Q109944035
Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland;Andreas Meyer;1777;Kein Eintrag vorhanden;668;HAAB;https://reise.isgv.de/logs/Q109944035
Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland;Andreas Meyer;1777;Kein Eintrag vorhanden;668;HAAB;https://reise.isgv.de/logs/Q109944035
Briefe eines Engländers auf seiner Reise nach Berlin, Dresden, Wien, Haag, Rom, Neapolis und Ferney;Martin Sherlock;1779;Kein Eintrag vorhanden;134;BSB München;https://reise.isgv.de/logs/Q109944086
Freundschaftliche Nachrichten von einer Carlsbader Brunnenreise;Johann Peter Willebrand;1780;Kein Eintrag vorhanden;360;SLUB Dresden;https://reise.isgv.de/logs/Q109944112
Emanuel Hartensteins, eines perigrinirenden Weltbürgers, Reise von Berlin über Rostock nach Dreßden;Christian Wilhelm Kindleben;1780;Kein Eintrag vorhanden;232;BSB München;https://reise.isgv.de/logs/Q109943996
