u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,service,lanes,bridge,access,width,ref,junction,tunnel,est_width,area
16574555,2380626541,0,366341918,tertiary,50,Ostra-Allee,False,False,67.20408355195198,"LINESTRING (13.7283904 51.0566688, 13.7284411 51.0566057, 13.7284713 51.056572, 13.728862 51.0561422)",,,,,11.1,,,,,
16574555,3241276479,0,366341918,tertiary,50,Ostra-Allee,False,True,23.05797820301519,"LINESTRING (13.7283904 51.0566688, 13.7283195 51.0567615, 13.7282509 51.0568567)",,,,,11.1,,,,,
16574557,2859364354,0,99478115,tertiary,50,Ostra-Allee,False,False,33.74180666667612,"LINESTRING (13.7290973 51.0558786, 13.729337 51.0556152)",,2,,,,,,,,
16574557,2380626541,0,366341918,tertiary,50,Ostra-Allee,False,True,33.60952038549116,"LINESTRING (13.7290973 51.0558786, 13.728862 51.0561422)",,,,,11.1,,,,,
16574563,6853636691,0,99478115,tertiary,50,Ostra-Allee,False,False,42.3153674995832,"LINESTRING (13.7299198 51.054967, 13.7302202 51.0546366)",,2,,,,,,,,
16574563,2859364349,0,99478115,tertiary,50,Ostra-Allee,False,True,50.20906309895429,"LINESTRING (13.7299198 51.054967, 13.7295641 51.0553593)",,2,,,,,,,,
21528534,318769947,0,110427013,unclassified,30,Zschonergrund,False,True,9.406332849122922,"LINESTRING (13.6418098 51.0586788, 13.6416836 51.0586494)",,,,,,,,,,
24973512,24973516,0,23132822,unclassified,50,Neustädter Markt,False,True,24.381099876852833,"LINESTRING (13.7414469 51.0578426, 13.7413387 51.0577359, 13.7413109 51.0577085, 13.7412594 51.0576577)",,2,,,,,,,,
24973516,24973512,0,23132822,unclassified,50,Neustädter Markt,False,False,24.381099876852836,"LINESTRING (13.7412594 51.0576577, 13.7413109 51.0577085, 13.7413387 51.0577359, 13.7414469 51.0578426)",,2,,,,,,,,
24973516,2410944130,0,99478092,unclassified,50,Neustädter Markt,False,True,18.4961367606437,"LINESTRING (13.7412594 51.0576577, 13.7412355 51.0576302, 13.7411758 51.0575671, 13.7411267 51.0575138)",,2,,,,,,,,
25116946,6853636706,0,99478115,tertiary,50,Ostra-Allee,False,True,87.51967067868165,"LINESTRING (13.731339 51.0533945, 13.7312301 51.0535144, 13.7307209 51.054079)",,2,,,,,,,,
25116946,2498984403,0,998474744,residential,50,Ostra-Allee,False,False,37.733094588731504,"LINESTRING (13.731339 51.0533945, 13.7314042 51.0533216, 13.7316044 51.053099)",,,,,,,,,,
25116948,1988759651,0,28092852,residential,50,Ostra-Allee,False,False,29.441334636210424,"LINESTRING (13.7320317 51.0526199, 13.7322398 51.0523897)",,,,,,,,,,
25116948,2498984403,0,"[998474744, 1101507159]",residential,50,Ostra-Allee,False,True,61.07474520051959,"LINESTRING (13.7320317 51.0526199, 13.7318152 51.0528627, 13.7316044 51.053099)",,,,,,,,,,
25117016,2569330415,0,1385283961,tertiary,20,Wilsdruffer Straße,True,False,12.280547816742363,"LINESTRING (13.7372643 51.0504944, 13.7370923 51.0505169)",,1,,,,,,,,
25117028,2610832910,0,1226680710,tertiary,20,Wilsdruffer Straße,True,False,68.15355905843977,"LINESTRING (13.7372088 51.0502917, 13.7381626 51.0501646)",,1,,,3.25,,,,,
25117095,1701480252,0,216071215,tertiary,20,Wilsdruffer Straße,True,False,68.3904538411928,"LINESTRING (13.7401355 51.0500897, 13.7398723 51.0501365, 13.739186 51.0502375)",,1,,,4.8,,,,,
25117102,334016342,0,216071213,tertiary,50,Wilsdruffer Straße,True,False,5.512302215794908,"LINESTRING (13.7438797 51.0496265, 13.7438018 51.0496342)",,,,,,,,,,
25117106,2517197942,0,913446177,residential,30,Schießgasse,False,True,17.101966429759884,"LINESTRING (13.7437091 51.0499915, 13.743796 51.0501009, 13.7438184 51.0501291)",,,,,,,,,,
25873142,1749554806,0,244326503,living_street,,Augustusstraße,False,True,7.702652460499327,"LINESTRING (13.7396957 51.052545, 13.7397311 51.0524794)",,,,,,,,,,
25873142,2561643152,0,244326505,pedestrian,,Augustusstraße,False,False,113.73703631375284,"LINESTRING (13.7396957 51.052545, 13.7395749 51.0525937, 13.7385543 51.0530073, 13.7383463 51.0531149)",,,,,,,,,,
25873146,26889714,0,4432017,residential,30,Schießgasse,False,False,12.799716144645918,"LINESTRING (13.7446979 51.0513401, 13.7446288 51.0512335)",,,,,,,,,,
26871536,274876204,0,4927254,unclassified,30,Zschonergrund,False,False,78.57239529724589,"LINESTRING (13.6383108 51.0586395, 13.6386497 51.0588303, 13.638893 51.058933, 13.639081 51.0589718, 13.6392569 51.0589902)",,,,,,,,,,
26889714,25873146,0,4432017,residential,30,Schießgasse,False,True,12.799716144645918,"LINESTRING (13.7446288 51.0512335, 13.7446979 51.0513401)",,,,,,,,,,
26889714,2530827472,0,508306574,residential,30,Schießgasse,False,False,14.014501617019379,"LINESTRING (13.7446288 51.0512335, 13.7445523 51.051117)",,,,,,,,,,
29348304,997588759,0,"[216071217, 313559084]",tertiary,50,Wilsdruffer Straße,True,False,111.14702525297093,"LINESTRING (13.7406426 51.0498694, 13.7408573 51.049848, 13.7417973 51.0497208, 13.7421935 51.0496518)",,"['1', '2']",,,,,,,,
29348305,25117095,0,216071215,tertiary,20,Wilsdruffer Straße,True,False,28.70303977197903,"LINESTRING (13.740537 51.0500356, 13.7404383 51.0500489, 13.7401355 51.0500897)",,1,,,4.8,,,,,
30122604,3175417565,0,255598297,residential,30,Schießgasse,False,False,38.05636497571986,"LINESTRING (13.7443857 51.0508635, 13.744147 51.0505559)",,,,,,,,,,
30122604,2526290026,0,"[255598297, 508306574]",residential,30,Schießgasse,False,True,20.94562462277751,"LINESTRING (13.7443857 51.0508635, 13.7444653 51.0509846, 13.7445001 51.0510376)",,,,,,,,,,
30409381,316631000,0,413178527,tertiary,20,Wilsdruffer Straße,True,False,69.24741691519185,"LINESTRING (13.7391197 51.0500407, 13.7397288 51.0499594, 13.7400923 51.0499235)",,1,,,4.8,,,,,
31197453,25117102,0,24209215,tertiary,50,Wilsdruffer Straße,True,False,31.34855726214725,"LINESTRING (13.7443213 51.0495776, 13.7442296 51.0495897, 13.7438797 51.0496265)",,,,,,,,,,
31471508,5240901296,0,4874493,secondary,30,Lockwitzgrund,False,False,34.42753127738447,"LINESTRING (13.8029641 50.9865514, 13.8029625 50.9864607, 13.8029148 50.9863782, 13.8028073 50.9862659)",,2,,,,S 183,,,,
31471510,86644275,0,4874493,secondary,30,Lockwitzgrund,False,False,120.86516121843341,"LINESTRING (13.8022562 50.985647, 13.8022228 50.985554, 13.8022046 50.9854502, 13.8022077 50.9852392, 13.8022154 50.9849725, 13.8022013 50.9847906, 13.8021437 50.9846883, 13.80205 50.9845852)",,2,,,,S 183,,,,
31471510,7301143494,0,4874493,secondary,30,Lockwitzgrund,False,True,29.82558831715197,"LINESTRING (13.8022562 50.985647, 13.8023263 50.9857634, 13.8024442 50.9858865)",,2,,,,S 183,,,,
85890601,5240901760,0,"[91767584, 1087196386]",secondary,50,Lockwitzgrund,False,True,201.86880475723257,"LINESTRING (13.796032 50.9819687, 13.7962133 50.9821698, 13.7964854 50.9824717, 13.7965822 50.9826124, 13.7966457 50.9827047, 13.7967617 50.9828618, 13.7969206 50.9830028, 13.7970849 50.9831172, 13.7973122 50.9832408, 13.7974985 50.9833364, 13.7976877 50.9834145)",,2,,,,S 183,,,,
