u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,service,lanes,bridge,access,width,ref,junction,tunnel,est_width,area
11005259,2294504615,0,"[102579496, 777497219]",primary,50,Bautzner Straße,False,True,40.55522500611608,"LINESTRING (13.7865973 51.0669125, 13.7869468 51.0669461, 13.787171 51.0669677)",,4,,,,B 6,,,,
11005259,1458120434,0,132572480,primary,50,Bautzner Straße,True,False,55.42983656444164,"LINESTRING (13.7865973 51.0669125, 13.7865271 51.0669197, 13.7864083 51.0669318, 13.7861487 51.0669217, 13.7859797 51.0669337, 13.7858635 51.0669499, 13.785813 51.0669591)",,2,,,,B 6,,,,
11005394,2294768731,0,257038587,primary,50,Bautzner Straße,False,True,28.243772124498552,"LINESTRING (13.8119703 51.0642256, 13.8118979 51.0642498, 13.8118477 51.0642626, 13.8117934 51.0642733, 13.8116878 51.0642825, 13.8115839 51.0642894)",,4,,,,B 6,,,,
25117016,2569330415,0,1385283961,tertiary,20,Wilsdruffer Straße,True,False,12.280547816742363,"LINESTRING (13.7372643 51.0504944, 13.7370923 51.0505169)",,1,,,,,,,,
25117028,2610832910,0,1226680710,tertiary,20,Wilsdruffer Straße,True,False,68.15355905843977,"LINESTRING (13.7372088 51.0502917, 13.7381626 51.0501646)",,1,,,3.25,,,,,
25117095,1701480252,0,216071215,tertiary,20,Wilsdruffer Straße,True,False,68.3904538411928,"LINESTRING (13.7401355 51.0500897, 13.7398723 51.0501365, 13.739186 51.0502375)",,1,,,4.8,,,,,
25117102,334016342,0,216071213,tertiary,50,Wilsdruffer Straße,True,False,5.512302215794908,"LINESTRING (13.7438797 51.0496265, 13.7438018 51.0496342)",,,,,,,,,,
25117106,2517197942,0,913446177,residential,30,Schießgasse,False,True,17.101966429759884,"LINESTRING (13.7437091 51.0499915, 13.743796 51.0501009, 13.7438184 51.0501291)",,,,,,,,,,
25433992,1703242714,0,210129632,primary,50,Bautzner Straße,True,False,21.270747416389995,"LINESTRING (13.7487461 51.0633016, 13.7489888 51.0633339, 13.7490442 51.0633402)",,1,,,,B 6,,,,
25873142,1749554806,0,244326503,living_street,,Augustusstraße,False,True,7.702652460499327,"LINESTRING (13.7396957 51.052545, 13.7397311 51.0524794)",,,,,,,,,,
25873142,2561643152,0,244326505,pedestrian,,Augustusstraße,False,False,113.73703631375284,"LINESTRING (13.7396957 51.052545, 13.7395749 51.0525937, 13.7385543 51.0530073, 13.7383463 51.0531149)",,,,,,,,,,
25873146,26889714,0,4432017,residential,30,Schießgasse,False,False,12.799716144645918,"LINESTRING (13.7446979 51.0513401, 13.7446288 51.0512335)",,,,,,,,,,
25949615,3160439137,0,877615383,primary,50,Bautzner Straße,False,False,20.020375463452424,"LINESTRING (13.7630752 51.0643635, 13.7633468 51.0644208)",,2,,,,B 6,,,,
25949615,13056523533,0,51515728,primary,50,Bautzner Straße,False,True,27.53187918465228,"LINESTRING (13.7630752 51.0643635, 13.7630395 51.0643558, 13.7627069 51.0642756)",,,,,,B 6,,,,
26889714,25873146,0,4432017,residential,30,Schießgasse,False,True,12.799716144645918,"LINESTRING (13.7446288 51.0512335, 13.7446979 51.0513401)",,,,,,,,,,
26889714,2530827472,0,508306574,residential,30,Schießgasse,False,False,14.014501617019379,"LINESTRING (13.7446288 51.0512335, 13.7445523 51.051117)",,,,,,,,,,
27279384,933166849,0,56067993,primary,50,Bautzner Straße,True,False,41.181014923303756,"LINESTRING (13.7479207 51.0634299, 13.7484134 51.063334, 13.7484836 51.0633203)",,2,,,,B 6,,,,
27682460,31237276,0,384397128,primary,50,Bautzner Straße,False,False,21.02810084668746,"LINESTRING (13.7947085 51.066397, 13.7944303 51.0664691)",,4,,,,B 6,,,,
27682460,1927448099,0,384397128,primary,50,Bautzner Straße,False,True,82.38995701632226,"LINESTRING (13.7947085 51.066397, 13.795481 51.0661754, 13.79565 51.0661311, 13.7957873 51.0660985)",,4,,,,B 6,,,,
28799160,169374355,0,384397128,primary,50,Bautzner Straße,False,True,14.271722027820566,"LINESTRING (13.7903983 51.0670969, 13.7905978 51.0670694)",,4,,,,B 6,,,,
28799160,11279901491,0,1217381409,primary,50,Bautzner Straße,True,False,20.1875684140178,"LINESTRING (13.7903983 51.0670969, 13.7903766 51.0671096, 13.7902405 51.0671896, 13.790175 51.0672097)",,1,,,,B 6,,,,
29348304,997588759,0,"[216071217, 313559084]",tertiary,50,Wilsdruffer Straße,True,False,111.14702525297093,"LINESTRING (13.7406426 51.0498694, 13.7408573 51.049848, 13.7417973 51.0497208, 13.7421935 51.0496518)",,"['2', '1']",,,,,,,,
29348305,25117095,0,216071215,tertiary,20,Wilsdruffer Straße,True,False,28.70303977197903,"LINESTRING (13.740537 51.0500356, 13.7404383 51.0500489, 13.7401355 51.0500897)",,1,,,4.8,,,,,
30122604,3175417565,0,255598297,residential,30,Schießgasse,False,False,38.05636497571986,"LINESTRING (13.7443857 51.0508635, 13.744147 51.0505559)",,,,,,,,,,
30122604,2526290026,0,"[255598297, 508306574]",residential,30,Schießgasse,False,True,20.94562462277751,"LINESTRING (13.7443857 51.0508635, 13.7444653 51.0509846, 13.7445001 51.0510376)",,,,,,,,,,
30405000,13056523533,0,51515728,primary,50,Bautzner Straße,False,False,12.198586145349674,"LINESTRING (13.7625438 51.0642365, 13.7627069 51.0642756)",,,,,,B 6,,,,
30405000,449106844,0,877615382,primary,50,Bautzner Straße,False,True,19.650106234973606,"LINESTRING (13.7625438 51.0642365, 13.7624563 51.064216, 13.7622803 51.0641748)",,,,,,B 6,,,,
30405010,2290849554,0,1183377561,primary,50,Bautzner Straße,True,False,9.425968685459052,"LINESTRING (13.776534 51.0672958, 13.7766672 51.0672824)",,1,,,,B 6,,,,
30405012,1458120482,0,133959424,primary,50,Bautzner Straße,True,False,52.5585791960647,"LINESTRING (13.7780068 51.067055, 13.7783483 51.0670358, 13.7787573 51.0670259)",,1,,,,B 6,,,,
30405016,433065573,0,1183377560,primary,50,Bautzner Straße,True,False,19.891176551058344,"LINESTRING (13.7767099 51.0675204, 13.7765712 51.0675033, 13.7764328 51.0674799)",,3,,,,B 6,,,,
30405018,31237331,0,220328114,primary,50,Bautzner Straße,False,False,89.14106170332664,"LINESTRING (13.8018614 51.0658461, 13.8014449 51.0658811, 13.8010949 51.0659039, 13.8005918 51.0659178)",,2,,,,B 6,,,,
30405018,303159242,0,"[23678817, 27608271, 384397136, 220328114, 777497214, 777497215]",primary,50,Bautzner Straße,False,"[False, True]",554.5122892356171,"LINESTRING (13.8018614 51.0658461, 13.8020558 51.0658331, 13.8026694 51.0657817, 13.8037679 51.0656897, 13.8041917 51.0656542, 13.8043327 51.0656424, 13.8053147 51.0655584, 13.8058143 51.0655167, 13.8062655 51.0654766, 13.8064721 51.0654543, 13.8066813 51.0654181, 13.8069153 51.065365, 13.8094446 51.0647342, 13.8095334 51.0647121)",,2,,,,B 6,,,,
30409381,316631000,0,413178527,tertiary,20,Wilsdruffer Straße,True,False,69.24741691519185,"LINESTRING (13.7391197 51.0500407, 13.7397288 51.0499594, 13.7400923 51.0499235)",,1,,,4.8,,,,,
31197453,25117102,0,24209215,tertiary,50,Wilsdruffer Straße,True,False,31.34855726214725,"LINESTRING (13.7443213 51.0495776, 13.7442296 51.0495897, 13.7438797 51.0496265)",,,,,,,,,,
