element,id,geometry,capital,contact:email,contact:phone,contact:website,ele,name,name:am,name:an,name:ar,name:az,name:ba,name:be,name:bg,name:bn,name:ce,name:co,name:cs,name:cv,name:de,name:el,name:eo,name:es,name:fa,name:fr,name:fur,name:he,name:hi,name:hsb,name:hu,name:hy,name:it,name:ja,name:ka,name:kk,name:kn,name:ko,name:ky,name:la,name:li,name:lt,name:lv,name:mk,name:ml,name:mn,name:mr,name:my,name:nds,name:ne,name:oc,name:os,name:pl,name:ps,name:ro,name:ru,name:sc,name:sd,name:sk,name:sq,name:sr,name:szl,name:ta,name:tg,name:th,name:tk,name:tl,name:tt,name:ug,name:uk,name:ur,name:uz,name:yi,name:zh,name:zh-Hans,name:zh-Hant,old_name:hr,openGeoDB:loc_id,place,population,ref:LOCODE,wikidata,wikimedia_commons,wikipedia,source,openGeoDB:auto_update,openGeoDB:community_identification_number,openGeoDB:is_in,openGeoDB:is_in_loc_id,openGeoDB:layer,openGeoDB:license_plate_code,openGeoDB:name,openGeoDB:population,openGeoDB:postal_codes,openGeoDB:sort_name,openGeoDB:telephone_area_code,openGeoDB:type,openGeoDB:version,opengeodb:lat,opengeodb:lon,postal_code,source:population,is_in,loc_name,note,name:azb,old_name:fr,openGeoDB:combination_of_public_administration,website,population:date,name:prefix,openGeoDB:location,population:description
node,29838787,POINT (13.5362765 51.0524125),,,,,,Wilsdruff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26205,town,14613,,Q8248,,de:Wilsdruff,,"population,is_in",14290450,"Weißeritzkreis,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",491,6,DW,Wilsdruff,13708,01723,WILSDRUFF,035204,Stadt,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,51.0524125,13.5362765,01723,wikipedia,,,,,,,,,,,
node,29927546,POINT (13.9386643 50.9616923),,,,https://www.pirna.de,118,Pirna,,,بيرنا,,Пирна,Пірна,Пирна,,Пирна,,,,Pirna,,,Pirna,پیرنا,Pirna,,,,Pěrno,,,,,,Пирна,,,Пирна,,,,,Пирна,,,,,,,,,,,,Пирна,,,,,Пирна,,,,,,,Пирна,,Пірна,پرنا,,,,,,,22468,town,37645,,Q6477,,de:Pirna,,,,,,,,,,,,,,,,,01796,,,,,پیرنا,Pirne,,,,,,
node,30226976,POINT (13.5794907 50.9853391),,,,,,Tharandt,,,تارانت,,,,,,,,,,Tharandt,,,,تارانت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24930,town,5700,,Q8245,,de:Tharandt,,,14290440,,,6,,Tharandt,5700,01737,THARANDT,035203,Stadt,,50.9853845,13.5795286,01737,,,,,,,Verwaltungsgemeinschaft Tharandt,,,,,
node,30899870,POINT (13.7115177 50.9671664),,,,,,Possendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,village,,,Q2105789,,de:Possendorf (Bannewitz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31352709,POINT (13.8016064 50.9251208),,,,,,Maxen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,village,,,Q1913759,,de:Maxen,,,,,,,,,,,,,,,,,,,"Müglitztal,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,
node,31383966,POINT (13.8016583 50.9696158),,,,,,Borthen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,village,,,Q894251,,de:Borthen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31608622,POINT (13.7929057 50.9704539),,,,,,Burgstädtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,village,,,Q1016033,,de:Burgstädtel (Dohna),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,84710033,POINT (13.6767995 51.0999765),,,,,117,Radebeul,,,,,Радебойль,,,,,,,,,,,,رادبویل,,,,,Radobyle,,,,,,Радебойль,,,,,,,Rādebeile,Радебојл,,,,,,,,,,,,Радебойль,,,,,Радебојл,,,,,,,,,Радебойль,,,,拉德博伊尔,,,,22740,town,34008,,Q8762,,de:Radebeul,,,,,,,,,,,,,,,,,01445,,,,,,,,https://radebeul.de/,,Große Kreisstadt,,
node,102937966,POINT (13.5558206 51.1139914),,,,,,Gauernitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Гауэрниц,,,,,,,,,,,,,,,,,,,,,,,village,,,Q1495967,Category:Gauernitz,de:Gauernitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,121852710,POINT (13.5444014 51.1301827),,,,,,Brockwitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,village,,,,,,,,,,,,,,,,,,,,,,,,Coswig,,,,,,,,,,
node,240029820,POINT (13.8591116 50.9337997),,,,,,Müglitztal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21135,village,2326,,Q8205,,de:Müglitztal,,"population,place,name,is_in",14287260,"Sächsische Schweiz,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",487,6,PIR,Müglitztal,2326,01809,MUEGLITZTAL,035027,Gemeinde,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,,,,,,,,,,Verwaltungsgemeinschaft Dohna,,,,political_structure,
node,240064143,POINT (13.8587012 50.955232),,,,,,Dohna,,,دونا,,,,,,,,,,,,,,دونا,,,,,Donin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15720,town,6053,,Q6474,,de:Dohna,,"population,place,name,is_in",14287100,"Sächsische Schweiz,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",487,6,PIR,"Dohna, Sachsen",6053,01809,DOHNA,035027,Stadt,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,,,,,"Sächsische Schweiz-Osterzgebirge,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,Verwaltungsgemeinschaft Dohna,,,,political_structure,
node,240100968,POINT (13.7601024 50.9453729),,,,,,Kreischa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19662,village,4431,,,,,,"population,place,name,is_in",14290260,"Weißeritzkreis,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",491,6,DW,Kreischa bei Dresden,4431,01731,KREISCHA,035206,Gemeinde,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,,,,,,,,,,,,,,political_structure,
node,240127792,POINT (13.6819406 51.1592018),,,,,,Moritzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21101,village,8197,,Q8742,,de:Moritzburg (Sachsen),,"population,place,name,is_in",14280260,,279,6,MEI,,,,MORITZBURG,035207,Gemeinde,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,,,01468,https://www.statistik.sachsen.de/download/080_zensus_2011_bevoelkerung/bev_14627150.pdf,"Meißen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,https://www.moritzburg.de,2011-05-09,,political_structure,
node,1561543341,POINT (13.9175257 51.1151413),,,,,250,Radeberg,,,رادبرغ,,,,,,,,,,,,,,رادبرگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Радеберг,,,,,,,,,,,,,,,,,,,,,,22739,town,18153,,Q81729,,de:Radeberg,,,14292445,,263,6,KM,,,,,03528,,,,,01454,,,,,,,,,,,,
