Entity_normed|Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable_URL|Gender|Full Sentence|osm_feature_found
Residenzschloss|Schloss und Vestung|https://de.wikipedia.org/wiki/Schloss_Dresden|511675274|136795084|Schloss Moritzburg|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|1363459838511828.0|Schloß und Vestung|certain|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male|Den 19. Mai kamen Ihre F. G. zu Dresden an/ zogen in der Herberg zum gulden Ring ein/ verharreten auch bis auff den 25. In solcher Zeit dann Ihre F. G. die Statt/ Schloß und Vestung/ Rustkammer/ Zeug- häuser/ Marßall/ Garten/ sammt anderen singularis- ten besehn/ Wurden auch von dem ChurFürsten Au- gusto Fürstlich empfangen.|False
Rüstkammer|Rustkammer|https://de.wikipedia.org/wiki/Dresdner_Rüstkammer|510525437|137374376|Rustkammer|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|238562861861314.0||certain|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male|Den 19. Mai kamen Ihre F. G. zu Dresden an/ zogen in der Herberg zum gulden Ring ein/ verharreten auch bis auff den 25. In solcher Zeit dann Ihre F. G. die Statt/ Schloß und Vestung/ Rustkammer/ Zeug- häuser/ Marßall/ Garten/ sammt anderen singularis- ten besehn/ Wurden auch von dem ChurFürsten Au- gusto Fürstlich empfangen.|False
Radeburg|Raddeburg|https://de.wikipedia.org/wiki/Radeburg|511151413|139175257|Radeberg|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|1.4502144229515732e+16||certain|5|1609|Deliciarum Germaniae, Tam Superioris Quam Inferioris|Martin Zeiller|Kein Eintrag vorhanden|Seite(n)285-287|489|https://www.digitale-sammlungen.de/de/view/bsb11095130?page=303|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|Link|https://reise.isgv.de/logs/Q109944118|male|O. Raddeburg 2. O. Ortrandt 2. O. Rulant 2. Senffteberg 1. Salgast 2. O. Finsterwald 2: O. Sonnevald 1. O. Calau 2. O. Luben 2. Biberstorff 1. Auffm Sand 14. Zur fehre ½. Beskoff 1. Mertensdorff 1. Mulrase ]} O. Franckfort an der Oder 2. Simul 24. FRANCFORDIA ad Oderam vulgo Francfort an der Oder/fitu excellit.|True
Altdresden|Alt‑Dresden||51049818|136989222|Alt‑Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1002|268345501748464.0|Alt-Dresden.|certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Die Chur-Sächsische Residenz / eine Jungfräuliche und gleichsam unüberwindliche Festung/in Meißen an der Elbe/in einem rußtigen flachen Flecke gelegen/bestehet in zwey Städten/ als Neu-und Alt-Dresden.|False
Dresdener Tore|Dresdner Tore|https://de.wikipedia.org/wiki/Dresdner_Tore|510594789|135583207|Dresdner Tor|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1004|1.2550322873464588e+16|Thore|certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Bey dieser Fortification sind 3. Thore / in welchen starcke Wacht gehalten/und werden Die Reisende scharff examinirt, und wer nicht absonderlich das rinnen zu thun hat/pass nicht eingelassen.|False
Altdresden|Alt‑Dresden|https://de.wikipedia.org/wiki/Alt-Dresden|51049818|136989222|Alt‑Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1005|268345501748464.0|Alt-Dres-den|certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Noch sind im Rath z. Stadt-Richter/deren einer das Stadt Gericht zu Neu- und der ander zu Alt-Dres-den verwaltet.|False
Schloss|Schloss Dresden|https://de.wikipedia.org/wiki/Dresdner_Schloss|510087637|138688717|Schloss Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1043|1.0300291033070446e+16|Schlosse|certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Dieses Gebau, stehet gangt nahe am Schlosse, so Anno 1581, erhoben / wie diese daran begriff-fene Schrift bezeuget.|False
Frauenkirche|Kirche zu unsrer lieben Frauen|https://en.wikipedia.org/wiki/Frauenkirche_(Dresden)|51051957|137416198|Frauenkirche Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1056|3.4806721038579984e+16||certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Die Kirche zu unsrer lieben Frauen/ist eine aus den ältesten in Sachsen/sie ist Anno 1477. erw weitert worden.|True
Dippoldiswalde|Dippoldiswalde|https://de.wikipedia.org/wiki/Dippoldiswalde|508950479|136633335|Dippoldiswalde|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|1.803404234389285e+16|Dippoldis-walda|certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Vhexter hera ütre ist ein mittelmäfiges Dorff, Kleine Lakte zuorxgenanmt, ebenfolts ins Amt Dippoldis-walda gehöret, dess sn Einwohner gehen абер nacher Possendorff zur Kirche.|False
Possendorf|Possendorf|https://de.wikipedia.org/wiki/Possendorf_(Freital)|509671664|137115177|Possendorf|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|9429312302737380.0|Possendorff|certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Hine ter Possendorff ist ein stärcker Wald, an wel-chen viele Dörffer liegen, die ich unmöglich alle nennen kan.|True
Dippoldiswalde|Dippoldiswalda|https://de.wikipedia.org/wiki/Dippoldiswalde|508950479|136633335|Dippoldiswalde|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000537.tif.original|1.803404234389285e+16||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Darauf redete der Herr von Rosenberg weiter: Hinter Dippoldiswalda liegt auch ein sehr grosses und langes Dorff, Frauen-dorff genannt, welches in das Curfürstliche Amt Dippoldiswalda gehört, auch nach Dippoldiswalda zum Kirche gehe.|False
Reinhardtsgrimma|Reinhardsgrimme||508928546|137560248|Reinhardtsgrimma|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|1.7567268229183114e+16||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Reinhardsgrimme liegt etwas lincker Hand, und ist ein grosses Dorff in das Dipoldiswalder Amt gehörig.|False
